image_count, train_elapsed, train_interval, content_loss, style_loss, total_loss, reporting_line, train_completion, total_images, train_eta, train_left, delta_time
2988, 58.65203666687012, 1.047961950302124, 525488, 736765, 1262253, 56, 0.029893152987314417, 99956, 1962.0558825547757, 1903.4038458879056, 0.0007650310393793047
3042, 59.69830560684204, 1.0462689399719238, 524966, 727163, 1252129, 57, 0.030433390691904438, 99956, 1961.6054685198892, 1901.9071629130472, 0.0007863191923731527
3096, 60.74441719055176, 1.0461115837097168, 525121, 718028, 1243149, 58, 0.03097362839649446, 99956, 1961.1656862722193, 1900.4212690816676, 0.0007812651744282251
3150, 61.791075229644775, 1.0466580390930176, 524516, 709040, 1233556, 59, 0.031513866101084476, 99956, 1960.75832242996, 1898.9672472003151, 0.0007651050348721489
3204, 62.84004354476929, 1.0489683151245117, 524106, 700392, 1224498, 60, 0.0320541038056745, 99956, 1960.4367642200245, 1897.5967206752553, 0.0007217220450118633
3258, 63.88313937187195, 1.0430958271026611, 523416, 691885, 1215301, 61, 0.03259434151026452, 99956, 1959.9456964563635, 1896.0625570844916, 0.0008084771511502886
3312, 64.92839765548706, 1.0452582836151123, 523338, 683749, 1207086, 62, 0.033134579214854534, 99956, 1959.5359046050316, 1894.6075069495446, 0.0007674061857876335
3366, 65.98130488395691, 1.0529072284698486, 522850, 675588, 1198438, 63, 0.03367481691944456, 99956, 1959.3664025492562, 1893.3850976652993, 0.0006452044973754845
3420, 67.03168988227844, 1.0503849983215332, 522396, 668057, 1190454, 64, 0.034215054624034576, 99956, 1959.1285362201825, 1892.096846337904, 0.0006803958312462388
3474, 68.07352900505066, 1.0418391227722168, 521523, 660612, 1182134, 65, 0.03475529232862459, 99956, 1958.6521776709396, 1890.578648665889, 0.0008023889870930612
3528, 69.12407755851746, 1.0505485534667969, 521118, 653234, 1174352, 66, 0.03529553003321462, 99956, 1958.43715885464, 1889.3130812961226, 0.0006694074169616426
3582, 70.17062473297119, 1.0465471744537354, 521001, 646174, 1167174, 67, 0.035835767737804634, 99956, 1958.1169642124144, 1887.9463394794432, 0.0007234067398410593
3636, 71.21627497673035, 1.0456502437591553, 520011, 639240, 1159250, 68, 0.03637600544239465, 99956, 1957.7816230951757, 1886.5653481184454, 0.0007314780786505937
3690, 72.26964902877808, 1.0533740520477295, 520075, 632648, 1152722, 69, 0.036916243146984676, 99956, 1957.665322038087, 1885.395673009309, 0.0006200024347436939
3744, 73.31989431381226, 1.0502452850341797, 519177, 626097, 1145274, 70, 0.03745648085157469, 99956, 1957.4688450938615, 1884.1489507800493, 0.0006612523021598538
3798, 74.36190223693848, 1.0420079231262207, 518710, 619906, 1138617, 71, 0.03799671855616471, 99956, 1957.0611637692002, 1882.6992615322617, 0.0007694132925039066
3852, 75.40842938423157, 1.0465271472930908, 518327, 613799, 1132126, 72, 0.038536956260754734, 99956, 1956.782182640252, 1881.3737532560203, 0.000704046739340991
3906, 76.4558093547821, 1.047379970550537, 517603, 607874, 1125477, 73, 0.03907719396534475, 99956, 1956.5327393411674, 1880.0769299863853, 0.000689295929312661
3960, 77.49771213531494, 1.041902780532837, 517050, 602058, 1119109, 74, 0.03961743166993477, 99956, 1956.151847019581, 1878.654134884266, 0.0007567749379965294
4014, 78.54563760757446, 1.0479254722595215, 516498, 596294, 1112792, 75, 0.04015766937452479, 99956, 1955.9311790490067, 1877.3855414414322, 0.0006752671602918703
4068, 79.58377647399902, 1.0381388664245605, 515818, 590748, 1106566, 76, 0.04069790707911481, 99956, 1955.475900008615, 1875.892123534616, 0.0007954774732469305
4122, 80.61817526817322, 1.0343987941741943, 515140, 585393, 1100533, 77, 0.04123814478370483, 99956, 1954.9418551929944, 1874.3236799248211, 0.000836105440242263
4176, 81.66189098358154, 1.0437157154083252, 514480, 579940, 1094421, 78, 0.04177838248829485, 99956, 1954.6446300658229, 1872.9827390822413, 0.0007154265066072751
4230, 82.69756937026978, 1.0356783866882324, 513663, 574826, 1088488, 79, 0.04231862019288487, 99956, 1954.1650694975617, 1871.467500127292, 0.0008089978211395232
4284, 83.73548102378845, 1.0379116535186768, 512956, 569877, 1082833, 80, 0.042858857897474886, 99956, 1953.7497061656861, 1870.0142251418977, 0.0007765429991679618
4338, 84.77738738059998, 1.0419063568115234, 512631, 564927, 1077558, 81, 0.04339909560206491, 99956, 1953.436729602409, 1868.659342221809, 0.0007245308093770664
4392, 85.81179165840149, 1.0344042778015137, 511726, 560058, 1071784, 82, 0.04393933330665493, 99956, 1952.9607119779553, 1867.1489203195538, 0.0008082917352177921
