image_count, train_elapsed, train_interval, content_loss, style_loss, total_loss, reporting_line, train_completion, total_images, train_eta, train_left, delta_time
1554, 71.53637099266052, 1.0780003070831299, 501261, 1514880, 2016141, 66, 0.031093681219736685, 49978, 2300.672296957006, 2229.1359259643455, 0.0008756752465106654
1578, 72.61537075042725, 1.0789997577667236, 501480, 1504885, 2006365, 67, 0.03157389251270559, 49978, 2299.854879191922, 2227.2395084414948, 0.000850741087953355
1602, 73.69837045669556, 1.0829997062683105, 503395, 1495135, 1998530, 68, 0.0320541038056745, 49978, 2299.1867407520162, 2225.4883702953207, 0.0007862370165117039
1626, 74.78637075424194, 1.0880002975463867, 505377, 1485635, 1991012, 69, 0.0325343150986434, 49978, 2298.692028016915, 2223.9056572626732, 0.0007111756025206528
1650, 75.8683705329895, 1.0819997787475586, 506490, 1475513, 1982002, 70, 0.03301452639161231, 49978, 2298.029953028939, 2222.1615824959495, 0.0007842395476751474
1674, 76.95337080955505, 1.0850002765655518, 507274, 1466706, 1973980, 71, 0.033494737684581215, 49978, 2297.4764434408257, 2220.5230726312707, 0.0007373495598094193
1698, 78.03537058830261, 1.0819997787475586, 509600, 1457472, 1967071, 72, 0.03397494897755012, 49978, 2296.850265761006, 2218.8148951727035, 0.0007692680520283712
1722, 79.11237072944641, 1.0770001411437988, 510393, 1448158, 1958550, 73, 0.03445516027051903, 49978, 2296.0964368851755, 2216.984066155729, 0.0008251382397682638
1746, 80.19337058067322, 1.0809998512268066, 512544, 1438259, 1950803, 74, 0.03493537156348794, 49978, 2295.477820664883, 2215.2844500842098, 0.0007666343197795245
1770, 81.27137064933777, 1.0780000686645508, 514156, 1428640, 1942796, 75, 0.035415582856456844, 49978, 2294.7912781427135, 2213.5199074933757, 0.000796530933427908
1794, 82.35037064552307, 1.0789999961853027, 515004, 1419626, 1934630, 76, 0.035895794149425744, 49978, 2294.1509610490257, 2211.8005904035026, 0.0007767344147449062
1818, 83.43137073516846, 1.0810000896453857, 516575, 1409962, 1926536, 77, 0.03637600544239465, 49978, 2293.5825338846257, 2210.1511631494573, 0.0007457395848440296
1842, 84.51137113571167, 1.080000400543213, 518214, 1400986, 1919200, 78, 0.03685621673536356, 49978, 2293.001795125189, 2208.490423989477, 0.0007514142868008111
1866, 85.59837126731873, 1.0870001316070557, 519611, 1391921, 1911532, 79, 0.037336428028332466, 49978, 2292.6234722390436, 2207.025100971725, 0.0006634953006068312
1890, 86.68137073516846, 1.0829994678497314, 519916, 1382598, 1902514, 80, 0.037816639321301374, 49978, 2292.1489664562164, 2205.467595721048, 0.0007057034602783174
1914, 87.7633707523346, 1.0820000171661377, 520414, 1373279, 1893693, 81, 0.03829685061427028, 49978, 2291.6602630408456, 2203.896892288511, 0.000712186130317316
1938, 88.84337043762207, 1.0799996852874756, 522047, 1363813, 1885859, 82, 0.03877706190723919, 49978, 2291.132078292815, 2202.288707855193, 0.0007297003952159153
1962, 89.92537069320679, 1.0820002555847168, 522881, 1354283, 1877163, 83, 0.03925727320020809, 49978, 2290.6677759964778, 2200.742405303271, 0.000702134350690109
1986, 91.01037049293518, 1.0849997997283936, 523927, 1343828, 1867755, 84, 0.039737484493176996, 49978, 2290.2901795044886, 2199.2798090115534, 0.0006645922249659542
2010, 92.08937048912048, 1.0789999961853027, 525630, 1333320, 1858951, 85, 0.0402176957861459, 49978, 2289.7724170672955, 2197.683046578175, 0.0007260387818028846
2034, 93.16737055778503, 1.0780000686645508, 526319, 1322984, 1849303, 86, 0.04069790707911481, 49978, 2289.242303705497, 2196.074933147712, 0.0007317312807991749
2058, 94.24137163162231, 1.0740010738372803, 526557, 1312900, 1839457, 87, 0.04117811837208372, 49978, 2288.6274399442273, 2194.386068312605, 0.0007690378910186757
2082, 95.31837058067322, 1.0769989490509033, 527204, 1303125, 1830329, 88, 0.041658329665052625, 49978, 2288.098715120502, 2192.780344539829, 0.0007317416912014929
2106, 96.39837074279785, 1.0800001621246338, 528302, 1293182, 1821484, 89, 0.04213854095802153, 49978, 2287.6532635249528, 2191.254892782155, 0.0006956701164676504
2130, 97.48037195205688, 1.0820012092590332, 529291, 1283268, 1812559, 90, 0.04261875225099043, 49978, 2287.2648025445537, 2189.784430592497, 0.0006710593982022228
2154, 98.5603711605072, 1.0799992084503174, 530259, 1273355, 1803614, 91, 0.04309896354395934, 49978, 2286.8385468244333, 2188.278175663926, 0.0006878553466393988
2178, 99.64337062835693, 1.0829994678497314, 530426, 1263577, 1794003, 92, 0.04357917483692825, 49978, 2286.4905313425265, 2186.8471607141696, 0.00065394562979737
2202, 100.72637057304382, 1.0829999446868896, 531245, 1253973, 1785218, 93, 0.044059386129897155, 49978, 2286.150112851764, 2185.42374227872, 0.0006508998255665421
